temp_h,temp_p,humidity,pressure,pitch,roll,yaw,mag_x,mag_y,mag_z,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,timestamp
27.8906440735,0,25.9235305786,0,358.528301274,0.519544475715,350.204234046,15.5426607132,2.74005150795,12.3952741623,0.00536799989641,0.0297679994255,0.972095966339,-0.00764690712094,0.0344808846712,0.11377248168,2015-12-29 23:15:44.657560
29.2104911804,27.9729156494,24.4429321289,1032.26855469,358.34754448,0.21618231742,351.728745075,43.3463783264,6.19400310516,35.4411506653,0.0278159994632,0.00536799989641,1.00088799,-0.00200737966225,-0.00223474577069,-0.00115714687854,2015-12-29 23:20:44.641911
30.2187099457,28.9104156494,25.1009750366,1032.24047852,358.384702737,0.337955012048,352.555536913,43.5704727173,5.91314601898,33.5698280334,0.0285479985178,0.0082959998399,1.00064396858,-0.000465779565275,0.000413320958614,-0.00109827471897,2015-12-29 23:25:44.668038
30.8053092957,29.4562492371,24.1237792969,1032.28295898,358.291953997,0.371036873211,352.923306742,42.6767845154,5.52709293365,34.5910072327,0.0300120003521,0.00853999983519,1.00088799,0.000470196362585,-0.000834304839373,0.0013155140914,2015-12-29 23:30:44.747163
31.0436134338,29.7958335876,23.3110961914,1032.21850586,358.234132604,0.203095955115,352.299792433,43.1061401367,6.2234992981,35.3594055176,0.0280600003898,0.0056119998917,1.00113201141,-0.00129475165159,-0.00043872371316,0.00189483119175,2015-12-29 23:35:44.948002
31.2085952759,29.8624992371,23.2288398743,1032.21313477,358.247666517,0.316920777489,352.630943909,42.503490448,5.68444252014,34.4673500061,0.0283039994538,0.00707599986345,1.00113201141,-0.000409826636314,0.00169593654573,0.00238470477052,2015-12-29 23:40:44.927621
31.2085952759,29.9583320618,24.3277740479,1032.08007812,358.328376408,0.390108949168,352.364785951,43.1590194702,6.10379743576,35.3278541565,0.0297679994255,0.00634399987757,1.00088799,0.0017180852592,-0.000700175762177,0.000691656488925,2015-12-29 23:45:45.090694
31.0252838135,29.7895832062,23.2979354858,1032.26318359,358.288166871,0.350690966973,352.021738847,43.1085853577,6.00355672836,34.6906394958,0.0297679994255,0.00731999985874,1.00088799,0.000583222135901,-0.00062089972198,0.000622101593763,2015-12-29 23:50:45.095045
31.0986099243,29.9333343506,22.972202301,1032.18237305,358.346141516,0.405570869943,352.633236291,43.3775062561,5.7310757637,34.8395271301,0.0300120003521,0.00756399985403,0.938423991203,0.000641095917672,-0.00025082193315,0.00150121678598,2015-12-29 23:55:45.029574
31.4469032288,30.1708335876,22.7155666351,1032.11132812,358.286672446,0.490424711241,352.275278884,43.1936912537,5.78653717041,34.4492759705,0.029036000371,0.00878399983048,1.00064396858,-0.000223766546696,-0.00236151739955,0.00147336372174,2015-12-30 00:00:45.111710
31.4835643768,30.2583332062,23.1663265228,1032.00927734,358.356420844,0.379576423942,352.71479558,42.9035949707,5.21897411346,34.9046096802,0.029036000371,0.00658799987286,1.00064396858,-0.000456453766674,-0.000163545832038,-0.00131297856569,2015-12-30 00:05:45.223457
31.7402000427,30.4104156494,22.409576416,1031.99511719,358.291337786,0.269091870897,353.311014319,42.9763298035,5.04130172729,34.786857605,0.0283039994538,0.00487999990582,1.00015592575,-0.0025649687741,-0.00165024213493,0.000491760671139,2015-12-30 00:10:45.260679
31.7218704224,30.3708343506,22.633310318,1031.94311523,358.330882233,0.300154664108,352.835806042,42.6547660828,5.41954708099,34.8184738159,0.029036000371,0.00634399987757,1.00064396858,0.00210775667801,-1.59107148647e-05,-0.000489345286041,2015-12-30 00:15:45.491579
31.8685188293,30.5,23.6993408203,1032.02392578,358.340840115,0.300617035898,352.719522071,42.370880127,5.55264663696,35.4809913635,0.0292799994349,0.00585599988699,1.00039994717,-0.000723435077816,0.000247133895755,-0.000710865482688,2015-12-30 00:20:45.474855
31.7402000427,30.34375,23.6532783508,1031.96264648,358.391286185,0.32739543287,352.455825543,43.0491638184,5.54631710052,34.6498680115,0.0285479985178,0.00609999988228,1.00015592575,0.00114898663014,0.000588655471802,0.000198646914214,2015-12-30 00:25:45.615385
31.7035388947,30.3312492371,23.1794872284,1031.91723633,358.328253357,0.328257984376,352.3086879,43.0831947327,5.59012794495,34.8716697693,0.0287919994444,0.00609999988228,1.00064396858,0.000764077994972,-0.000417964532971,-0.000314268749207,2015-12-30 00:30:45.560897
31.5202255249,30.2020835876,22.8044013977,1031.87939453,358.372911482,0.351594526295,352.292580607,42.2983627319,5.78905773163,35.0082588196,0.0287919994444,0.00487999990582,1.00015592575,0.00037236046046,-0.000539254397154,0.000989675521851,2015-12-30 00:35:45.642170
31.53855896,30.3041667938,22.9656219482,1031.87255859,358.311874244,0.317197640274,352.289217592,42.5724067688,6.01590919495,34.6388130188,0.0302559994161,0.00512399990112,1.00015592575,-0.000952233094722,0.00182088278234,-0.00137360859662,2015-12-30 00:40:45.866566
31.7951965332,30.4437503815,24.1764240265,1031.80957031,358.298291239,0.308908512025,352.195459585,42.2070083618,5.98810243607,35.3010520935,0.0278159994632,0.00536799989641,1.00064396858,9.57334414124e-05,0.000710213556886,0.00102570094168,2015-12-30 00:45:45.798068
31.5568885803,30.3770828247,22.748468399,1031.78417969,358.382898393,0.321642866124,351.724249957,42.2247009277,5.95906352997,35.0844726562,0.0302559994161,0.00536799989641,0.998447954655,0.0014005410485,-0.0004339274019,0.00155486934818,2015-12-30 00:50:45.820846
